"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"55",0.0203686498249903,0.00165559191923418,0.451739923807005,0.992038681659322,0.544498511727136,-1726.72721194499
"56",0.0203686498249903,0.00165559191923418,0.462746207332742,0.988469271804637,0.543692846205728,-1726.92091027636
"57",0.0203686498249903,0.00165559191923418,0.402822729703368,0.988469271804637,0.542551051475965,-1726.81293937207
"58",0.0203686498249903,0.00165559191923418,0.412080002693979,0.988469271804637,0.544720306034243,-1726.65885189075
"59",0.0203686498249903,0.00165559191923418,0.403331948795844,0.981473319627422,0.550970288937315,-1728.98286658837
"60",0.0203686498249903,0.00165559191923418,0.389701657797967,0.985424687164455,0.550970288937315,-1727.2365218839
"61",0.0203686498249903,0.00165559191923418,0.389701657797967,0.985424687164455,0.55107222993619,-1727.24795578458
"62",0.0203686498249903,0.00165559191923418,0.44267490340741,0.997193323257491,0.547747173272512,-1728.87598429171
"63",0.0203686498249903,0.00165559191923418,0.463972211565518,0.997193323257491,0.548382937540883,-1728.80471000931
"64",0.0203686498249903,0.00231015421876513,0.502832710676525,0.997193323257491,0.550671269398305,-1729.13882401937
"65",0.0203686498249903,0.00231015421876513,0.55973707940787,0.997193323257491,0.551580365741526,-1729.12734495071
"66",0.0203253332740487,0.00231015421876513,0.538537385466401,0.997193323257491,0.544363982378091,-1728.83103879008
"67",0.0203253332740487,0.00231015421876513,0.578664530980255,0.997193323257491,0.547017478337556,-1728.6032040608
"68",0.0203253332740487,0.00182642434231758,0.538675723534699,0.997193323257491,0.547860889231771,-1727.54661137946
"69",0.0198850134795638,0.00182642434231758,0.576323331232051,0.997193323257491,0.549924145709066,-1731.04487500799
"70",0.0198850134795638,0.00182642434231758,0.576323331232051,0.997193323257491,0.555450668484505,-1730.02489499044
"71",0.0198850134795638,0.00182642434231758,0.576323331232051,0.997193323257491,0.5582170689275,-1729.80498494242
"72",0.0198850134795638,0.00182642434231758,0.588490154236645,0.997193323257491,0.552010239896333,-1730.5197299444
"73",0.0206584556840475,0.00182642434231758,0.615983152182704,0.997193323257491,0.552484486044413,-1729.97986653726
"74",0.0204560029817591,0.00182642434231758,0.67168401455723,0.997193323257491,0.552674543933915,-1727.93644943568
"75",0.0204560029817591,0.00182642434231758,0.650861476655224,0.997193323257491,0.552181671801379,-1727.89197916877
"76",0.0204560029817591,0.00182642434231758,0.655961354463187,0.997193323257491,0.547320265282014,-1727.19332462039
"77",0.0204560029817591,0.00182642434231758,0.630825318007157,0.993832610605618,0.550062953235569,-1726.51348906862
"78",0.0204560029817591,0.00182642434231758,0.608222273611967,0.993832610605618,0.550062953235569,-1726.51687957924
"79",0.0204560029817591,0.00204090981227964,0.622328420930629,0.993832610605618,0.553567437406636,-1727.790875366
"80",0.0201253918410811,0.00204090981227964,0.679604486132213,0.993832610605618,0.549350869546135,-1726.51231596476
"81",0.0201253918410811,0.00204090981227964,0.658838711706378,0.993832610605618,0.547754552756099,-1726.68443565253
"82",0.0201253918410811,0.00204090981227964,0.659772428084154,0.993832610605618,0.549329036436813,-1726.49325614253
"83",0.0201253918410811,0.00204090981227964,0.693645841536821,0.993832610605618,0.549685631358592,-1726.4990444088
"84",0.0201253918410811,0.00204090981227964,0.6901576473075,0.993832610605618,0.545648888219643,-1727.07804077466
"85",0.0201253918410811,0.00204090981227964,0.601747060314863,0.989438510143061,0.542715631008422,-1729.2018160433
"86",0.0201253918410811,0.00204090981227964,0.555796995869631,0.997439894709083,0.542715631008422,-1729.02084842066
"87",0.0201253918410811,0.00186808487557965,0.579794561141262,0.997439894709083,0.540102061695721,-1730.28162124778
"88",0.0201253918410811,0.00186808487557965,0.515849771912025,0.997439894709083,0.541882190316238,-1729.93689877714
"89",0.0201253918410811,0.00186808487557965,0.500511926093447,0.997439894709083,0.541882190316238,-1729.99337025707
"90",0.0204682380993745,0.00186808487557965,0.500511926093447,0.997439894709083,0.545723946298956,-1727.69121892582
"91",0.0204682380993745,0.00186808487557965,0.556107093506587,0.996333204779484,0.548151921569064,-1727.07641549219
"92",0.020519280126802,0.00186808487557965,0.513330638744491,0.996333204779484,0.545617599830189,-1727.18495702501
"93",0.020519280126802,0.00186808487557965,0.50655181026007,0.996194242506575,0.547040327320503,-1727.28156953959
"94",0.020519280126802,0.00186808487557965,0.50655181026007,0.996194242506575,0.547721204786136,-1727.36592681882
"95",0.020519280126802,0.00186808487557965,0.478154092772853,0.996194242506575,0.547721204786136,-1727.46542262179
"96",0.020519280126802,0.00186808487557965,0.478154092772853,0.994995335474191,0.544497663796963,-1726.71955903585
"97",0.0205163760536553,0.00186808487557965,0.42102523100162,0.994995335474191,0.538534574191761,-1727.11036686141
"98",0.0205163760536553,0.00186808487557965,0.492590035026876,0.994995335474191,0.538534574191761,-1726.85728286147
"99",0.0204686475104166,0.00186808487557965,0.500671090769524,0.989592237114763,0.538976254849259,-1726.94040287298
"100",0.0204686475104166,0.00186808487557965,0.451440136777357,0.992785233250104,0.542124007251742,-1726.24638541216
