#Read position (bp)	Clipping profile
0.0	4.680120899187709
1.0	2.93432403501039
2.0	2.817832630187016
3.0	2.652540771991688
4.0	2.424280586864807
5.0	2.1692588627920157
6.0	2.0527674579686415
7.0	1.9126629305459355
8.0	1.791448901202695
9.0	1.6592154146464329
10.0	1.5380013853031924
11.0	1.4592909766387507
12.0	1.3711353189345759
13.0	1.2987217429632893
14.0	1.199546628046093
15.0	1.1176878030350734
16.0	1.062590516969964
17.0	0.9901769409986777
18.0	0.9319312385869907
19.0	0.8768339525218815
20.0	0.8075687928971728
21.0	0.7619167558717965
22.0	0.7162647188464203
23.0	0.6737610981676216
24.0	0.6328316856621119
25.0	0.574585983250425
26.0	0.5525470688243814
27.0	0.5210629053586046
28.0	0.4848561173729614
29.0	0.4486493293873182
30.0	0.6674642654744664
31.0	0.40614570870851957
32.0	0.5714375669038474
33.0	0.4769850765065173
34.0	0.35104842264341035
35.0	0.32900950821736663
36.0	0.42661041496127444
37.0	0.31011901013790066
38.0	0.4943013664126944
39.0	0.2975253447515899
40.0	0.3872552106290536
41.0	0.2990995529248788
42.0	0.39827466784207544
43.0	0.41401674957496376
44.0	0.41401674957496376
45.0	0.335306340910522
46.0	0.3479000062968327
47.0	0.44550091304074046
48.0	0.5336565707449152
49.0	0.46439141112020654
50.0	0.39040362697563125
51.0	0.41244254140167497
52.0	0.43448145582771863
53.0	0.47226245198665073
54.0	0.4817077010263837
55.0	0.508469239972294
56.0	0.6155153957559347
57.0	0.5541212769976701
58.0	0.5824570241168692
59.0	0.6155153957559347
60.0	0.651722183741578
61.0	0.6863547635539323
62.0	0.7162647188464203
63.0	0.7571941313519299
64.0	0.7808072539512625
65.0	0.8075687928971728
66.0	0.8563692462691267
67.0	0.9272086140671243
68.0	0.9823059001322335
69.0	1.0389773943706315
70.0	1.0783325987028525
71.0	1.1727850891001825
72.0	1.2924249102701342
73.0	1.3664126944147095
74.0	1.4529941439455953
75.0	1.4703104338517725
76.0	0.46439141112020654
77.0	0.48957874189282785
78.0	0.5163402808387382
79.0	0.5588439015175367
80.0	0.5950506895031799
81.0	0.6469995592217115
82.0	0.680057930860777
83.0	0.7178389270197091
84.0	0.7556199231786411
85.0	0.8280334991499275
86.0	0.8862792015616145
87.0	0.9539701530130346
88.0	1.035828978024054
89.0	1.0987973049556072
90.0	1.169636672753605
91.0	1.2672375794975128
92.0	1.3286316982557773
93.0	1.4120647314400856
94.0	1.5285561362634597
95.0	1.6135633776210565
96.0	1.7520936968704741
97.0	1.8607140608274038
98.0	1.9850765065172218
99.0	2.04174800075562
100.0	1.2231597506454255
