"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"43",0.0232715808994271,0.00160404815129895,0.977325710653179,0.99600503625466,0.592740441909497,-3246.73876368259
"44",0.0232715808994271,0.00160404815129895,0.984887329278934,0.99600503625466,0.589034700008482,-3247.79937374112
"45",0.0232715808994271,0.00150131534784649,0.99579026205331,0.99600503625466,0.588498876863499,-3247.91159572062
"46",0.0232715808994271,0.00178071073930177,0.976126326568027,0.99600503625466,0.588498876863499,-3249.35843782919
"47",0.0232715808994271,0.00128269338293436,0.981743913277796,0.99600503625466,0.588498876863499,-3249.41027761934
"48",0.0232715808994271,0.00135101108204654,0.981743913277796,0.99600503625466,0.588498876863499,-3248.68640667505
"49",0.0232715808994271,0.00135101108204654,0.896964619515296,0.99600503625466,0.59203907961989,-3247.68948307579
"50",0.0232715808994271,0.00130785874360379,0.882190277222614,0.99600503625466,0.592982624443943,-3248.00015638398
"51",0.0234543579272325,0.00158997554261977,0.908812705180348,0.99600503625466,0.591958715382355,-3248.22725567661
"52",0.0234543579272325,0.00125329743302195,0.914923877998507,0.99600503625466,0.5956308544991,-3249.31795782176
"53",0.0234543579272325,0.00125329743302195,0.913906515541078,0.994278958815421,0.596495051652273,-3249.82128274595
"54",0.0234543579272325,0.00125329743302195,0.952032389635488,0.994278958815421,0.597827200870272,-3250.44821955723
"55",0.0234543579272325,0.00125329743302195,0.983474121537082,0.994278958815421,0.601861463913807,-3252.526211406
"56",0.0234543579272325,0.00125329743302195,0.983474121537082,0.994278958815421,0.593206203509158,-3249.57772817405
"57",0.0234543579272325,0.00125329743302195,0.983474121537082,0.994278958815421,0.593206203509158,-3249.57772817405
"58",0.0234543579272325,0.00125329743302195,0.960143960331821,0.994278958815421,0.594388229812923,-3249.59181635847
"59",0.0234543579272325,0.00136751928544891,0.960143960331821,0.997207379513548,0.594632915764652,-3249.01213514812
"60",0.02331362360816,0.00136751928544891,0.955958345412131,0.995125504471899,0.592038843736772,-3247.44824281264
"61",0.02331362360816,0.00136751928544891,0.979823958613031,0.995125504471899,0.592038843736772,-3247.50514106902
"62",0.02331362360816,0.0015290827976762,0.950383613587088,0.995125504471899,0.592590909297813,-3247.04771361296
"63",0.02331362360816,0.0015290827976762,0.912808923468083,0.995125504471899,0.592590909297813,-3246.9358480473
"64",0.02331362360816,0.0015290827976762,0.902318850131072,0.995125504471899,0.592590909297813,-3246.90955917996
"65",0.0230700358948001,0.0015290827976762,0.92756503576318,0.995125504471899,0.592800671602867,-3247.65323730243
"66",0.0230700358948001,0.00143777174459794,0.965962844822171,0.995125504471899,0.594496434913723,-3247.54366467109
"67",0.0230700358948001,0.00143777174459794,0.910098454184455,0.995125504471899,0.598372045300751,-3246.44552275983
"68",0.0230700358948001,0.00143777174459794,0.93186334506616,0.995125504471899,0.600931740027917,-3246.24835787191
"69",0.0232388703352482,0.00143777174459794,0.954166949871351,0.995125504471899,0.600776307397783,-3246.96643698647
"70",0.0232388703352482,0.00143777174459794,0.979806892863635,0.996829320846339,0.600776307397783,-3247.21682037074
"71",0.0232388703352482,0.00143777174459794,0.999693363768458,0.996829320846339,0.600776307397783,-3247.16443113656
"72",0.0232388703352482,0.00143777174459794,0.992395969637482,0.996829320846339,0.605533100981106,-3248.80822459143
"73",0.0229742837082117,0.00143777174459794,0.971287382244442,0.996829320846339,0.608585645710358,-3247.72547670195
"74",0.0229742837082117,0.00143777174459794,0.94975123094175,0.996829320846339,0.605255161695681,-3247.2422931035
"75",0.0229742837082117,0.00155417831214665,0.979326662093106,0.996829320846339,0.605255161695681,-3245.98434026203
"76",0.0229742837082117,0.00180939627122733,0.979326662093106,0.995813326386491,0.610903366218845,-3247.13487098694
"77",0.0229742837082117,0.00180939627122733,0.979326662093106,0.995813326386491,0.606964769188144,-3246.04551185835
"78",0.0228105039912958,0.00180939627122733,0.902146624085293,0.995813326386491,0.616617116569344,-3247.29054015648
"79",0.0228711572175877,0.00180939627122733,0.864743407494779,0.995813326386491,0.612307738052888,-3246.29478461361
"80",0.0228711572175877,0.00180939627122733,0.837537719151537,0.995813326386491,0.605368168413464,-3245.43505467489
"81",0.0228711572175877,0.00180939627122733,0.872414018640101,0.995813326386491,0.601889273606378,-3245.95230036711
"82",0.0228711572175877,0.00180939627122733,0.87781954006076,0.995243590169209,0.605858410016085,-3245.51933580957
"83",0.0228711572175877,0.00180939627122733,0.889425686966146,0.995243590169209,0.601078725509174,-3246.31101182479
"84",0.0228711572175877,0.00180939627122733,0.845320161018202,0.995243590169209,0.601078725509174,-3246.22850647891
"85",0.0228711572175877,0.00180939627122733,0.858103526333939,0.995243590169209,0.601961968320379,-3246.0143881209
"86",0.0227907524235823,0.00180939627122733,0.85236722097536,0.995243590169209,0.605814026820473,-3245.65437504999
"87",0.0227907524235823,0.00180939627122733,0.855110364782545,0.995243590169209,0.600042209374057,-3247.40842456773
"88",0.0227907524235823,0.00180939627122733,0.869993546180906,0.995243590169209,0.599009939280687,-3247.93336570388
"89",0.0227907524235823,0.00180939627122733,0.850026912753626,0.995243590169209,0.599009939280687,-3247.90477506199
"90",0.0227907524235823,0.00180939627122733,0.829673650058476,0.995243590169209,0.599009939280687,-3247.8834901202
"91",0.0227907524235823,0.00180939627122733,0.827225017707017,0.995243590169209,0.599009939280687,-3247.88146660934
"92",0.0227907524235823,0.00180939627122733,0.848345007213394,0.994439228411916,0.600382471114539,-3247.62197253498
"93",0.0232656033506432,0.00180939627122733,0.854148379737581,0.994439228411916,0.591376230869453,-3249.45337474099
"94",0.0232656033506432,0.00180939627122733,0.886775644760708,0.994439228411916,0.591376230869453,-3249.6830013501
"95",0.0232656033506432,0.00180939627122733,0.895488033990361,0.994439228411916,0.591376230869453,-3249.74864332342
"96",0.0232656033506432,0.00132542259510486,0.951790473152964,0.996952872597574,0.591376230869453,-3248.76272145454
"97",0.0232656033506432,0.00132542259510486,0.952159818932637,0.996952872597574,0.59228793676118,-3248.54126969222
"98",0.0232656033506432,0.00132542259510486,0.952159818932637,0.996952872597574,0.59228793676118,-3248.54126969222
"99",0.0232656033506432,0.00132542259510486,0.996661367151635,0.996952872597574,0.593274360603424,-3248.19576187595
"100",0.0232656033506432,0.00132542259510486,0.996661367151635,0.996952872597574,0.595609152599675,-3247.97103108965
