#Position (bp)	insert size
2500.5	292.6
7500.5	388.24
12500.5	288.8333333333333
17500.5	351.6875
22500.5	359.9583333333333
27500.5	343.6
32500.5	351.85714285714283
37500.5	355.969696969697
42500.5	309.7083333333333
47500.5	322.65
52500.5	300.5263157894737
57500.5	311.36842105263156
62500.5	263.88461538461536
67500.5	314.6
72500.5	335.04545454545456
77500.5	330.27272727272725
82500.5	313.03846153846155
87500.5	398.59090909090907
92500.5	273.5
97500.5	304.5
102500.5	350.22222222222223
107500.5	314.6896551724138
112500.5	264.8
117500.5	303.3076923076923
122500.5	356.4736842105263
127500.5	358.95
132500.5	353.5652173913044
137500.5	365.0
142500.5	333.65
147500.5	313.3235294117647
152500.5	303.92
157500.5	248.52941176470588
162500.5	270.09090909090907
167500.5	358.5
172500.5	322.8181818181818
177500.5	351.0
182500.5	289.73333333333335
187500.5	314.2352941176471
192500.5	283.8695652173913
197500.5	328.76190476190476
202500.5	305.2105263157895
207500.5	340.1923076923077
212500.5	304.42857142857144
217500.5	290.5
222500.5	246.04347826086956
227500.5	16819.90625
232500.5	324.9583333333333
237500.5	331.51851851851853
242500.5	331.1818181818182
247500.5	309.375
252500.5	269.77777777777777
257500.5	336.89285714285717
262500.5	268.4074074074074
267500.5	329.48275862068965
272500.5	372.0769230769231
277500.5	341.5
282500.5	335.13793103448273
287500.5	367.3157894736842
292500.5	28644.82608695652
297500.5	348.72727272727275
302500.5	273.04761904761904
307500.5	27847.0
312500.5	290.0869565217391
317500.5	357.3125
322500.5	408.1818181818182
327500.5	279.2
332500.5	267.0
337500.5	282.57894736842104
342500.5	323.6666666666667
347500.5	317.94736842105266
352500.5	323.15
357500.5	344.6521739130435
362500.5	324.9166666666667
367500.5	409.2
372500.5	330.1111111111111
377500.5	330.2083333333333
382500.5	330.8421052631579
387500.5	279.4583333333333
392500.5	341.0
397500.5	375.9642857142857
402500.5	289.09090909090907
407500.5	389.7391304347826
412500.5	46105.69565217391
417500.5	370.2
422500.5	306.06666666666666
427500.5	395.14285714285717
432500.5	311.5
437500.5	307.0416666666667
442500.5	315.2692307692308
447500.5	349.7647058823529
452500.5	349.69565217391306
457500.5	387.3333333333333
462500.5	346.7142857142857
467500.5	367.2962962962963
472500.5	361.1818181818182
477500.5	295.8333333333333
482500.5	331.74074074074076
487500.5	320.55
492500.5	354.7142857142857
497500.5	317.8421052631579
502500.5	344.73333333333335
507500.5	363.375
512500.5	323.0625
517500.5	337.1764705882353
522500.5	20415.48
527500.5	321.51724137931035
532500.5	376.32142857142856
537500.5	290.35714285714283
542500.5	9060.04
547500.5	330.15
552500.5	22284.68181818182
557500.5	298.5217391304348
562500.5	363.1666666666667
567500.5	367.5
572500.5	347.875
577500.5	383.94444444444446
582500.5	362.5483870967742
587500.5	324.45454545454544
592500.5	384.0
597500.5	338.27272727272725
602500.5	315.125
607500.5	341.04
612500.5	356.5925925925926
617500.5	358.5625
622500.5	351.9
627500.5	355.84375
632500.5	342.3125
637500.5	287.1875
642500.5	291.5
647500.5	319.0
652500.5	475.6666666666667
657500.5	239.57142857142858
662500.5	266.0
667500.5	386.5
672500.5	354.3333333333333
677500.5	313.4
682500.5	312.5
687500.5	236.66666666666666
692500.5	233.1818181818182
697500.5	319.55555555555554
702500.5	302.1904761904762
707500.5	400.125
712500.5	342.4
717500.5	362.5
722500.5	276.4583333333333
727500.5	363.4375
732500.5	369.46153846153845
737500.5	347.53333333333336
742500.5	337.9230769230769
747500.5	321.11764705882354
752500.5	320.53982300884957
757500.5	312.8590425531915
762500.5	330.9145496535797
767500.5	328.09148936170214
772500.5	342.90047393364927
777500.5	324.22049689440996
782500.5	333.96143250688704
787500.5	328.2618296529968
792500.5	346.57142857142856
797500.5	335.1107594936709
802500.5	324.82978723404256
807500.5	337.03055555555557
812500.5	323.14241486068113
817500.5	323.7897574123989
822500.5	319.6528662420382
827500.5	342.6594827586207
832500.5	336.94384449244063
837500.5	336.20722891566265
842500.5	340.3085106382979
847500.5	428.4647577092511
852500.5	329.0927152317881
857500.5	331.96938775510205
862500.5	349.64823008849555
867500.5	312.4270152505447
872500.5	341.7012345679012
877500.5	343.56
882500.5	339.91435185185185
887500.5	327.7791878172589
892500.5	319.11471861471864
897500.5	328.0137299771167
902500.5	336.4004424778761
907500.5	315.6521739130435
912500.5	326.83910386965374
917500.5	329.41513292433535
922500.5	340.76374745417513
927500.5	316.1355555555556
932500.5	350.42615012106535
937500.5	332.48125
942500.5	330.35135135135135
947500.5	326.8641425389755
952500.5	346.1333333333333
957500.5	327.80689655172415
962500.5	332.2457627118644
967500.5	332.9339019189766
972500.5	327.1022222222222
977500.5	310.3379310344828
982500.5	329.2381930184805
987500.5	316.9428571428571
992500.5	309.3968609865471
997500.5	322.68025751072963
1002500.5	302.848623853211
1007500.5	338.80400890868594
1012500.5	307.5993690851735
1017500.5	332.3333333333333
1022500.5	343.2603406326034
1027500.5	332.64835164835165
1032500.5	334.173640167364
1037500.5	321.2055427251732
1042500.5	326.4878640776699
1047500.5	325.16150442477874
1052500.5	335.95433789954336
1057500.5	327.2568306010929
1062500.5	333.46875
1067500.5	322.15401785714283
1072500.5	330.3898305084746
1077500.5	323.4140127388535
1082500.5	329.6
1087500.5	321.23284823284826
1092500.5	315.1799065420561
1097500.5	325.78879310344826
1102500.5	322.0722347629797
1107500.5	332.0814977973568
1112500.5	328.4560669456067
1117500.5	308.30749354005167
1122500.5	312.3181818181818
1127500.5	660.3224489795919
1132500.5	315.1319910514541
1137500.5	324.5879732739421
1142500.5	331.6269430051814
1147500.5	338.7359667359667
1152500.5	335.57383966244726
1157500.5	315.5922077922078
1162500.5	327.91818181818184
1167500.5	320.05286343612335
1172500.5	329.72727272727275
1177500.5	327.77105831533476
1182500.5	338.271186440678
1187500.5	332.16041666666666
1192500.5	329.6
1197500.5	324.3771186440678
1202500.5	334.8835616438356
1207500.5	324.3785166240409
1212500.5	329.2005208333333
1217500.5	320.23779193205945
1222500.5	414.2195652173913
1227500.5	325.70938215102973
1232500.5	309.07
1237500.5	320.7050209205021
1242500.5	335.6866537717602
1247500.5	326.56666666666666
1252500.5	332.05309734513276
1257500.5	323.8719646799117
1262500.5	323.0515873015873
1267500.5	329.00233644859816
1272500.5	330.36546184738955
1277500.5	328.79906542056074
1282500.5	328.33056133056135
1287500.5	323.7780429594272
1292500.5	316.9002624671916
1297500.5	318.2832512315271
1302500.5	319.875
1307500.5	353.9375
1312500.5	333.82608695652175
1317500.5	220.68421052631578
1322500.5	302.0
1327500.5	285.5
1332500.5	309.7894736842105
1337500.5	285.85714285714283
1342500.5	344.14285714285717
1347500.5	331.9166666666667
1352500.5	317.8
1357500.5	285.5238095238095
1362500.5	278.0
1367500.5	321.68
1372500.5	309.1578947368421
1377500.5	349.57894736842104
1382500.5	329.1363636363636
1387500.5	308.0
1392500.5	288.92857142857144
1397500.5	214.14285714285714
1402500.5	324.90909090909093
1407500.5	322.0
1412500.5	319.72222222222223
1417500.5	352.14285714285717
1422500.5	314.7857142857143
1427500.5	342.1923076923077
1432500.5	319.5357142857143
1437500.5	353.0
1442500.5	306.60714285714283
1447500.5	343.45
1452500.5	254.16666666666666
1457500.5	309.65
1462500.5	321.6
1467500.5	228.1875
1472500.5	336.56666666666666
1477500.5	341.22222222222223
1482500.5	285.47058823529414
1487500.5	310.46153846153845
1492500.5	310.6875
1497500.5	320.32142857142856
1502500.5	346.7391304347826
1507500.5	313.53846153846155
1512500.5	328.44
1517500.5	342.3333333333333
1522500.5	299.5882352941176
1527500.5	343.94117647058823
1532500.5	326.3809523809524
1537500.5	325.64
1542500.5	365.82142857142856
1547500.5	335.0769230769231
1552500.5	344.7916666666667
1557500.5	330.1304347826087
1562500.5	349.76190476190476
1567500.5	294.3076923076923
1572500.5	349.2083333333333
1577500.5	376.94736842105266
1582500.5	297.1333333333333
1587500.5	303.0952380952381
1592500.5	290.17391304347825
1597500.5	338.72222222222223
1602500.5	246.8421052631579
1607500.5	309.59090909090907
1612500.5	310.5
1617500.5	305.4782608695652
1622500.5	391.3333333333333
1627500.5	338.48
1632500.5	388.8888888888889
1637500.5	343.70588235294116
1642500.5	333.0
1647500.5	321.22222222222223
1652500.5	401.2173913043478
1657500.5	287.7
1662500.5	320.85714285714283
1667500.5	370.7647058823529
1672500.5	287.5625
1677500.5	356.1363636363636
1682500.5	393.45
1687500.5	386.85
1692500.5	305.72
1697500.5	291.10526315789474
1702500.5	346.5263157894737
1707500.5	282.59090909090907
1712500.5	350.0869565217391
1717500.5	367.55
1722500.5	287.5
1727500.5	304.6190476190476
1732500.5	283.45
1737500.5	327.96
1742500.5	307.89473684210526
1747500.5	294.3636363636364
1752500.5	323.44444444444446
1757500.5	321.74074074074076
1762500.5	375.7857142857143
1767500.5	286.2083333333333
1772500.5	328.75
1777500.5	319.65
1782500.5	282.24
1787500.5	365.56666666666666
1792500.5	316.7894736842105
1797500.5	330.85185185185185
1802500.5	362.76
1807500.5	341.8333333333333
1812500.5	313.05555555555554
1817500.5	342.2105263157895
1822500.5	356.3333333333333
1827500.5	288.8076923076923
1832500.5	279.35
1837500.5	316.05263157894734
1842500.5	357.875
1847500.5	337.5217391304348
1852500.5	337.3225806451613
1857500.5	341.95
1862500.5	300.5882352941176
1867500.5	316.48
1872500.5	309.3
1877500.5	395.55172413793105
1882500.5	352.3666666666667
1887500.5	310.8181818181818
1892500.5	322.0
1897500.5	304.4166666666667
1902500.5	321.2013651877133
1907500.5	317.86021505376345
1912500.5	298.37254901960785
1917500.5	342.43692307692305
1922500.5	324.4807121661721
1927500.5	338.3819241982507
1932500.5	332.52351097178683
1937500.5	323.44336569579286
1942500.5	326.43243243243245
1947500.5	336.4310344827586
1952500.5	311.0
1957500.5	334.56802721088434
1962500.5	318.34166666666664
1967500.5	328.5
1972500.5	340.8682432432432
1977500.5	307.32876712328766
1982500.5	325.48497854077254
1987500.5	334.89930555555554
1992500.5	340.59866220735785
1997500.5	344.8545454545455
