#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	9.110787172011662E-5
11.0	0.0
12.0	9.110787172011662E-5
13.0	0.0
14.0	0.0
15.0	9.110787172011662E-5
16.0	9.110787172011662E-5
17.0	9.110787172011662E-5
18.0	2.7332361516034986E-4
19.0	6.377551020408164E-4
20.0	0.0013666180758017494
21.0	0.0013666180758017494
22.0	0.0036443148688046646
23.0	0.0031887755102040817
24.0	0.004464285714285714
25.0	0.007197521865889212
26.0	0.009657434402332361
27.0	0.011388483965014578
28.0	0.016763848396501458
29.0	0.016308309037900873
30.0	0.018950437317784258
31.0	0.023232507288629738
32.0	0.025327988338192418
33.0	0.025419096209912534
34.0	0.032707725947521867
35.0	0.029701166180758017
36.0	0.03407434402332361
37.0	0.03717201166180758
38.0	0.03188775510204081
39.0	0.03434766763848396
40.0	0.03553206997084549
41.0	0.03498542274052478
42.0	0.03544096209912537
43.0	0.0345298833819242
44.0	0.03380102040816326
45.0	0.032707725947521867
46.0	0.035714285714285705
47.0	0.03653425655976676
48.0	0.02824344023323615
49.0	0.02787900874635569
50.0	0.03206997084548105
51.0	0.034347667638483965
52.0	0.023232507288629738
53.0	0.02824344023323615
54.0	0.024143586005830907
55.0	0.021228134110787174
56.0	0.020772594752186586
57.0	0.019405976676384842
58.0	0.015761661807580173
59.0	0.01567055393586006
60.0	0.013666180758017494
61.0	0.010568513119533527
62.0	0.006833090379008747
63.0	0.007197521865889212
64.0	0.005830903790087463
65.0	0.003644314868804665
66.0	0.0031887755102040817
67.0	0.0019132653061224494
68.0	0.002186588921282799
69.0	8.199708454810497E-4
70.0	0.0011844023323615161
71.0	5.466472303206997E-4
72.0	2.7332361516034986E-4
73.0	5.466472303206997E-4
74.0	8.199708454810496E-4
75.0	3.6443148688046647E-4
76.0	1.8221574344023323E-4
77.0	9.110787172011662E-5
78.0	0.0
79.0	1.8221574344023323E-4
80.0	9.110787172011662E-5
81.0	9.110787172011662E-5
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
