#Position (bp)	mapping quality
2500.5	44.67081113084665
7500.5	53.994587280108256
12500.5	59.970845481049565
17500.5	56.27966645285439
22500.5	60.0
27500.5	60.0
32500.5	59.65257142857143
37500.5	59.64458804523425
42500.5	58.17222456732799
47500.5	60.0
52500.5	58.75330396475771
57500.5	57.9581589958159
62500.5	59.62160091918805
67500.5	58.404266666666665
72500.5	58.7047817047817
77500.5	59.82178217821782
82500.5	39.40375939849624
87500.5	57.608485499462944
92500.5	60.0
97500.5	59.94169096209912
102500.5	59.76424361493124
107500.5	57.29550991994431
112500.5	58.82972292191436
117500.5	59.04311331552842
122500.5	59.96610169491525
127500.5	45.23533045089562
132500.5	8.290556900726392
137500.5	0.0
142500.5	0.0
147500.5	0.6455190771960958
152500.5	0.42141863699582754
157500.5	12.488013698630137
162500.5	3.9528023598820057
167500.5	0.0
172500.5	0.0
177500.5	1.7841483979763912
182500.5	0.0
187500.5	14.869429241594997
192500.5	8.948933782267115
197500.5	43.45031232254401
202500.5	43.324588477366255
207500.5	52.02836304700162
212500.5	58.52722063037249
217500.5	56.98212983223924
222500.5	60.0
227500.5	57.93112947658402
232500.5	60.0
237500.5	59.87226952980377
242500.5	59.04278326281147
247500.5	57.51599819738621
252500.5	59.9264705882353
257500.5	59.976699029126216
262500.5	60.0
267500.5	59.52801650051564
272500.5	54.905426356589146
277500.5	60.0
282500.5	57.023366336633664
287500.5	57.974137931034484
292500.5	57.72267693789119
297500.5	59.90759753593429
302500.5	60.0
307500.5	59.853233830845774
312500.5	59.9581589958159
317500.5	59.9562363238512
322500.5	59.97931034482759
327500.5	60.0
332500.5	58.93939393939394
337500.5	60.0
342500.5	59.37590909090909
347500.5	58.15319598520866
352500.5	59.96742671009772
357500.5	56.36697247706422
362500.5	59.590480466995956
367500.5	58.819683908045974
372500.5	60.0
377500.5	52.52841887702377
382500.5	57.7729494839761
387500.5	60.0
392500.5	59.85666507405638
397500.5	57.30015923566879
402500.5	59.94567677682209
407500.5	57.14628180039139
412500.5	50.552845528455286
417500.5	57.08998302207131
422500.5	59.90639625585023
427500.5	59.975500204164966
432500.5	57.855910705225774
437500.5	59.97420464316423
442500.5	58.314785373608906
447500.5	58.572104018912526
452500.5	59.93842996408414
457500.5	59.64698867024448
462500.5	47.544477028348
467500.5	57.55625280143433
472500.5	55.215494211932324
477500.5	59.02650399663441
482500.5	59.77932731747334
487500.5	60.0
492500.5	59.974171330176496
497500.5	60.0
502500.5	59.925619834710744
507500.5	58.006644518272424
512500.5	56.33201581027668
517500.5	59.53604436229205
522500.5	59.01565217391305
527500.5	59.869895193350196
532500.5	52.97576202717591
537500.5	55.2195945945946
542500.5	59.92214532871972
547500.5	59.9819765695404
552500.5	58.77708233028407
557500.5	58.63636363636363
562500.5	52.31069958847737
567500.5	58.486746987951804
572500.5	59.9593220338983
577500.5	59.8936170212766
582500.5	59.979231568016615
587500.5	58.75820292781424
592500.5	58.347433264887066
597500.5	58.709354677338666
602500.5	58.59295659295659
607500.5	59.973238180196255
612500.5	59.95389934690741
617500.5	45.07249626307922
622500.5	49.77128378378379
627500.5	46.33076653832692
632500.5	41.478753541076486
637500.5	33.884033613445375
642500.5	52.48
647500.5	60.0
652500.5	60.0
657500.5	55.857988165680474
662500.5	35.44903581267218
667500.5	30.74757281553398
672500.5	42.767195767195766
677500.5	35.74427020506634
682500.5	32.32122905027933
687500.5	47.29838709677419
