#Coverage	Number of genomic locations
0.0	909937.0
1.0	365060.0
2.0	95698.0
3.0	44610.0
4.0	52313.0
5.0	66857.0
6.0	77409.0
7.0	78570.0
8.0	75152.0
9.0	66153.0
10.0	52701.0
11.0	39173.0
12.0	28626.0
13.0	19881.0
14.0	12234.0
15.0	7395.0
16.0	3882.0
17.0	1977.0
18.0	1111.0
19.0	613.0
20.0	345.0
21.0	163.0
22.0	94.0
23.0	26.0
24.0	8.0
25.0	6.0
26.0	6.0
